0	0	0	0	0	0	
0	0	0	24320	0	0	
0	0	1792	0	1792	0	
0	5120	32512	5120	32512	5120	
0	9216	10752	32512	10752	4608	
0	8960	4864	2048	25600	25088	
0	13824	18688	22016	8192	20480	
0	0	2048	1792	768	0	
0	0	7168	8704	16640	0	
0	0	16640	8704	7168	0	
0	10752	7168	32512	7168	10752	
0	2048	2048	15872	2048	2048	
0	0	0	28672	12288	0	
0	2048	2048	2048	2048	2048	
0	0	0	24576	24576	0	
0	8192	4096	2048	1024	512	
0	15872	20736	18688	17664	15872	
0	0	16896	32512	16384	0	
0	29184	18688	18688	18688	17920	
0	8448	16640	18688	19712	13056	
0	6144	5120	4608	32512	4096	
0	9984	17664	17664	17664	14592	
0	15360	18944	18688	18688	12544	
0	16640	8448	4352	2304	1792	
0	13824	18688	18688	18688	13824	
0	17920	18688	18688	10496	7680	
0	0	0	5120	0	0	
0	0	16384	13312	0	0	
0	0	2048	5120	8704	16640	
0	5120	5120	5120	5120	5120	
0	0	16640	8704	5120	2048	
0	512	256	22784	2304	1536	
0	15872	16640	23808	22784	19968	
0	31744	4608	4352	4608	31744	
0	32512	18688	18688	18688	13824	
0	15872	16640	16640	16640	8704	
0	32512	16640	16640	16640	15872	
0	32512	18688	18688	18688	16640	
0	32512	2304	2304	2304	256	
0	15872	16640	16640	20736	29440	
0	32512	2048	2048	2048	32512	
0	0	16640	32512	16640	0	
0	8192	16384	16640	16128	256	
0	32512	2048	5120	8704	16640	
0	32512	16384	16384	16384	16384	
0	32512	512	7168	512	32512	
0	32512	1024	2048	4096	32512	
0	15872	16640	16640	16640	15872	
0	32512	2304	2304	2304	1536	
0	15872	16640	20736	8448	24064	
0	32512	2304	6400	10496	17920	
0	9728	18688	18688	18688	12800	
0	768	256	32512	256	768	
0	16128	16384	16384	16384	16128	
0	7936	8192	16384	8192	7936	
0	16128	16384	14336	16384	16128	
0	25344	5120	2048	5120	25344	
0	768	1024	30720	1024	768	
0	24832	22784	18688	19712	17152	
0	0	32512	16640	16640	16640	
0	512	1024	2048	4096	8192	
0	0	16640	16640	16640	32512	
0	1024	512	256	512	1024	
0	16384	16384	16384	16384	16384	
0	0	768	1792	2048	0	
0	8192	21504	21504	30720	16384	
0	32512	10240	17408	17408	14336	
0	14336	17408	17408	17408	10240	
0	14336	17408	17408	10240	32512	
0	14336	21504	21504	21504	6144	
0	0	2048	32256	2304	512	
0	6144	9216	9216	7168	30720	
0	32512	2048	1024	1024	30720	
0	0	17408	32000	16384	0	
0	8192	16384	16384	15616	0	
0	32512	4096	10240	17408	0	
0	0	16640	32512	16384	0	
0	31744	1024	30720	1024	30720	
0	31744	2048	1024	1024	30720	
0	14336	17408	17408	17408	14336	
0	31744	6144	9216	9216	6144	
0	6144	9216	9216	6144	31744	
0	31744	2048	1024	1024	2048	
0	18432	21504	21504	21504	9216	
0	1024	1024	16128	17408	9216	
0	15360	16384	16384	8192	31744	
0	7168	8192	16384	8192	7168	
0	15360	16384	12288	16384	15360	
0	17408	10240	4096	10240	17408	
0	19456	4096	4096	4096	31744	
0	17408	25600	21504	19456	17408	
0	0	2048	13824	16640	0	
0	0	0	30464	0	0	
0	0	16640	13824	2048	0	
0	512	256	512	1024	512	
